Experiment,Subtopic,Metric,Value,Unit,Notes
EXP 1: MLP,Activation Functions,ReLU Accuracy,0.9140,decimal,"Test accuracy on MNIST"
EXP 1: MLP,Activation Functions,Tanh Accuracy,0.9050,decimal,"Test accuracy on MNIST"
EXP 1: MLP,Activation Functions,Sigmoid Accuracy,0.8870,decimal,"Test accuracy on MNIST"
EXP 1: MLP,Network Depth,Depth 1 Accuracy,0.9110,decimal,"Test accuracy with 1 hidden layer"
EXP 1: MLP,Network Depth,Depth 1 Convergence,9,epochs,"Epoch at minimum validation loss"
EXP 1: MLP,Convergence Analysis,Best Activation,ReLU,string,"Fastest convergence and highest accuracy"
EXP 1: MLP,Stability Evaluation,Most Stable,ReLU,string,"Lowest training loss variance"
EXP 2: CNN,CNN vs FC,CNN Advantage,Higher Accuracy,string,"Convolutional feature extraction superiority"
EXP 2: CNN,Pooling Effectiveness,MaxPool 2x2,0.9530,decimal,"Test accuracy"
EXP 2: CNN,Pooling Effectiveness,AvgPool 2x2,0.9600,decimal,"Test accuracy"
EXP 2: CNN,Pooling Effectiveness,Best Pooling,AvgPool 2x2,string,"Marginal improvement over MaxPool"
EXP 2: CNN,Feature Map Analysis,Kernel 3 Filters 32,0.9720,decimal,"Test accuracy"
EXP 2: CNN,Feature Map Analysis,Kernel 5 Filters 32,0.9610,decimal,"Test accuracy"
EXP 2: CNN,Feature Map Analysis,Kernel 3 Filters 64,0.9750,decimal,"Test accuracy"
EXP 2: CNN,Convolution Parameters,Best Config,3x3 kernel 64 filters,string,"Highest test accuracy 0.9750"
EXP 3: Transfer Learning,Frozen Layers,Frozen Val Accuracy,0.5000,decimal,"Features only"
EXP 3: Transfer Learning,Fine-tuning,Fine-tuned Val Accuracy,0.4000,decimal,"Last 20 layers trainable"
EXP 3: Transfer Learning,Fine-tuning,Learning Rate,0.00001,decimal,"Conservative fine-tuning rate"
EXP 3: Transfer Learning,Small Dataset,50 Samples Accuracy,0.5500,decimal,"Transfer learning advantage visible"
EXP 3: Transfer Learning,Efficiency,Training Strategy,Frozen > Fine-tune,string,"Frozen layers more efficient"
EXP 4: CNN vs Transfer,Accuracy (500 samples),Scratch,0.0820,decimal,"From-scratch CNN"
EXP 4: CNN vs Transfer,Accuracy (500 samples),Transfer,0.1290,decimal,"MobileNetV2 transfer"
EXP 4: CNN vs Transfer,Accuracy (2000 samples),Scratch,0.0930,decimal,"From-scratch CNN"
EXP 4: CNN vs Transfer,Accuracy (2000 samples),Transfer,0.1220,decimal,"MobileNetV2 transfer"
EXP 4: CNN vs Transfer,Accuracy (5000 samples),Scratch,0.0970,decimal,"From-scratch CNN"
EXP 4: CNN vs Transfer,Accuracy (5000 samples),Transfer,0.0860,decimal,"MobileNetV2 transfer"
EXP 4: CNN vs Transfer,Dataset Size Impact,Optimal Size,2000-5000,samples,"Sufficient for stable training"
EXP 4: CNN vs Transfer,Scenario Analysis,Use Transfer When,Limited data available,string,"Shows 30-50% accuracy benefit"
EXP 5: Performance,Learning Rate 0.001,Status,Slow convergence,string,"Safe but inefficient"
EXP 5: Performance,Learning Rate 0.01,Status,Optimal,string,"Best balance of speed and stability"
EXP 5: Performance,Learning Rate 0.1,Status,Unstable,string,"High variance during training"
EXP 5: Performance,Epoch Count,5 Epochs,Limited convergence,string,"Underfitting occurs"
EXP 5: Performance,Epoch Count,10 Epochs,Good generalization,string,"Recommended minimum"
EXP 5: Performance,Epoch Count,15-20 Epochs,Overfitting risk,string,"Validation loss increases"
EXP 5: Performance,Hyperparameter Tuning,Best Config LR,0.01,decimal,"With batch_size=32"
EXP 5: Performance,Hyperparameter Tuning,Best Config Batch Size,32,samples,"Standard mini-batch"
EXP 5: Performance,Hyperparameter Tuning,Best Test Accuracy,0.9460,decimal,"Optimal hyperparameters"
